Name of Institution,Street Address,City,ZIP Code,County,Georeference
Advantage Federal C.U.,100 Kings Highway South,Rochester,14617,Monroe,POINT (-77.5757 43.20226)
Advantage Federal C.U.,1801 East Main Street,Rochester,14609,Monroe,POINT (-77.56295 43.15841)
Advantage Federal C.U.,1000 South Avenue,Rochester,14620,Monroe,POINT (-77.60657 43.13569)
Advantage Federal C.U.,200 Lomb Memorial Drive,Rochester,14623,Monroe,POINT (-77.67471 43.08478)
Advantage Federal C.U.,2515 Browncroft Boulevard,Rochester,14626,Monroe,POINT (-77.50459 43.15347)
Advantage Federal C.U.,1975 Buffalo Road,Rochester,14624,Monroe,POINT (-77.70804 43.14795)
Advantage Federal C.U.,701 Library Road,Rochester,14611,Monroe,POINT (-77.62727 43.12925)
Advantage Federal C.U.,38 Lomb Memorial Drive,Rochester,14623,Monroe,POINT (-77.67451 43.09165)
Advantage Federal C.U.,3111 South Winton Road,Rochester,14623,Monroe,POINT (-77.58367 43.09194)
Advantage Federal C.U.,1625 Mount Hope Avenue,Rochester,14620,Monroe,POINT (-77.62102 43.11847)
Advantage Federal C.U.,601 Elmwood Avenue,Rochester,14642,Monroe,POINT (-77.62437 43.1239)
Advantage Federal C.U.,1425 Portland Avenue,Rochester,14621,Monroe,POINT (-77.58545 43.1929)
Advantage Federal C.U.,220 Alexander Street,Rochester,14607,Monroe,POINT (-77.5965 43.15024)
Advantage Federal C.U.,225 West Broad Street,Rochester,14614,Monroe,POINT (-77.61793 43.15349)
Advantage Federal C.U.,6000 Reynolds Drive,Rochester,14623,Monroe,POINT (-77.67916 43.08896)
Advantage Federal C.U.,260 Crittenden Blvd,Rochester,14642,Monroe,POINT (-77.62609 43.12188)
Alco Federal Credit Union,25 West Main Street,Friendship,14739,Allegany,POINT (-78.13484 42.2075)
Alco Federal Credit Union,32 Greenwich Street,Belmont,14813,Allegany,POINT (-78.0285 42.22504)
Alco Federal Credit Union,2859 Lindy Lane,Wellsville,14895,Allegany,POINT (-77.97888 42.12351)
Alco Federal Credit Union,9 West Main Street,Cuba,14727,Allegany,POINT (-78.27596 42.21717)
Alden State Bank,5802 Broadway,Lancaster,14086,Erie,POINT (-78.64491 42.89545)
Alden State Bank,13216 Broadway,Alden,14004,Erie,POINT (-78.49567 42.9002)
Alma Bank,28-20 Ditmars Boulevard,Astoria,11105,Queens,POINT (-73.9118 40.77693)
Alma Bank,8424 5th Avenue,Brooklyn,11209,Kings,POINT (-74.02559 40.62229)
Alma Bank,41-02 Broadway,Astoria,11103,Queens,POINT (-73.91802 40.75853)
Alma Bank,1218 Kings Highway,Brooklyn,11237,Kings,POINT (-73.96041 40.60789)
Alma Bank,140 58th Street,Brooklyn,11220,Kings,POINT (-74.02389134 40.644975361)
Alma Bank,2831 31st Street,Astoria,11102,Queens,POINT (-73.92087 40.76753)
Alma Bank,1023 Avenue of the Americas,New York,10018,New York,POINT (-73.98588 40.75242)
Alma Bank,4401 13th Avenue,Brooklyn,11219,Kings,POINT (-73.98929 40.63774)
Alma Bank,1705 Crosby Avenue,Bronx,10461,Bronx,POINT (-73.83127 40.84549)
Alma Bank,21311 Northern Boulevard,Bayside,11361,Queens,POINT (-73.76992 40.76018)
Alternatives Federal Credit Union,125 North Fulton Street,Ithaca,14850,Tompkins,POINT (-76.51052 42.43955)
Amalgamated Bank,94 East Burnside Avenue,Bronx,10453,Bronx,POINT (-73.90587 40.85325)
Amalgamated Bank,10 East 14th Street,New York,10003,New York,POINT (-73.99296 40.73573)
Amalgamated Bank,275 Seventh Avenue,New York,10001,New York,POINT (-73.994313699 40.745628062)
Amalgamated Bank,52 Broadway,New York,10004,New York,POINT (-74.01255 40.70673)
Amalgamated Bank,3770 East Tremont Avenue,Bronx,10465,Bronx,POINT (-73.82121 40.8258)
Amalgamated Bank,301 Third Avenue,New York,10010,New York,POINT (-73.98302 40.73901)
Amalgamated Bank,1745 Broadway,New York,10019,New York,POINT (-73.98204 40.76519)
Amalgamated Bank,2067 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.82812 40.86958)
Amalgamated Bank,36-18 21st Street,Long Island City,11106,Queens,POINT (-73.93759 40.75911)
Amalgamated Bank,70-23 Parsons Boulevard,Flushing,11365,Queens,POINT (-73.81031 40.73163)
Amalgamated Bank,1212 Fulton Street,Brooklyn,11216,Kings,POINT (-73.95207 40.68053)
Amalgamated Bank,4502 5th Avenue,Brooklyn,11220,Kings,POINT (-74.00749 40.64781)
Amalgamated Bank,619 Main Street,Roosevelt Island,10044,New York,POINT (-73.94875 40.76324)
Amerasia Bank,41-06 Main Street,Flushing,11355,Queens,POINT (-73.82935 40.75794)
Amerasia Bank,86-26 Broadway,Elmhurst,11373,Queens,POINT (-73.87717 40.73777)
AmeriCU Credit Union,Building P10750,Ft. Drum,13603,Jefferson,
AmeriCU Credit Union,4585 W. Seneca Tpke,Syracuse,13215,Onondaga,POINT (-76.19566 43.00078)
AmeriCU Credit Union,3944 NY Rt 281,Cortland,13045,Cortland,POINT (-76.20493 42.59759)
AmeriCU Credit Union,5798 NY  31,Cicero,13039,Onondaga,POINT (-76.11825 43.17536)
AmeriCU Credit Union,82 Albany Street,Cazenovia,13035,Madison,POINT (-75.85269 42.92989)
AmeriCU Credit Union,5212 West Genesee Street,Camillus,13031,Onondaga,POINT (-76.26781 43.04153)
AmeriCU Credit Union,5439 North Burdick Street,Fayetteville,13066,Onondaga,POINT (-76.01842 43.0389)
AmeriCU Credit Union,7394 Utica Boulevard,Lowville,13367,Lewis,POINT (-75.48403 43.77803)
AmeriCU Credit Union,6414 State Route 31,Cicero,13039,Onondaga,POINT (-76.07788 43.17673)
AmeriCU Credit Union,326 East State Street,Herkimer,13350,Herkimer,POINT (-74.98007 43.02751)
AmeriCU Credit Union,200 Walton Street,Syracuse,13202,Onondaga,POINT (-76.15578 43.04797)
AmeriCU Credit Union,8007 Oswego Road,Liverpool,13090,Onondaga,POINT (-76.22969 43.15857)
AmeriCU Credit Union,231 Hill Road,Rome,13440,Oneida,POINT (-75.41892 43.22081)
AmeriCU Credit Union,20991 NYS Route 3,Watertown,13601,Jefferson,POINT (-75.95298 43.97504)
AmeriCU Credit Union,295 Grant Avenue,Auburn,13021,Cayuga,POINT (-76.54492 42.95423)
AmeriCU Credit Union,6303 Thompson Road,Syracuse,13206,Onondaga,POINT (-76.08961 43.07598)
AmeriCU Credit Union,4957 Commercial Drive,Yorkville,13495,Oneida,POINT (-75.29856 43.10312)
AmeriCU Credit Union,280 Genesee Street,Oneida,13421,Madison,POINT (-75.65162 43.07857)
AmeriCU Credit Union,1916 Black River Boulevard,Rome,13440,Oneida,POINT (-75.43528 43.23686)
AmeriCU Credit Union,224 North Genesee Street,Utica,13502,Oneida,POINT (-75.2151 43.11277)
American Broadcast Employees Federal Credit Union,30 West 66th Street,New York,10023,New York,POINT (-73.97977 40.77284)
American Broadcast Employees Federal Credit Union,77 West 66th Street,New York,10023,New York,POINT (-73.98019 40.77302)
Apple Bank For Savings,1170 Lexington Avenue,New York,10028,New York,POINT (-73.95821 40.77591)
Apple Bank For Savings,418 Myrtle Avenue,Brooklyn,11205,Kings,POINT (-73.96912 40.69311)
Apple Bank For Savings,1000 Merchants Councourse,Westbury,11590,Nassau,POINT (-73.59249 40.74675)
Apple Bank For Savings,1753 East Main Street,Mohegan Lake,10547,Westchester,POINT (-73.85226 41.32374)
Apple Bank For Savings,168-42 Hillside Avenue,Jamaica,11432,Queens,POINT (-73.79357 40.71048)
Apple Bank For Savings,120 East Fordham Road,Bronx,10458,Bronx,POINT (-73.89838 40.8623)
Apple Bank For Savings,78-01 37th Avenue,Jackson Heights,11372,Queens,POINT (-73.88773 40.74939)
Apple Bank For Savings,426 86th Street,Brooklyn,11209,Kings,POINT (-74.02763 40.62234)
Apple Bank For Savings,371 Seventh Avenue,New York,10012,New York,POINT (-73.99211 40.74891)
Apple Bank For Savings,370 East 149th Street,Bronx,10455,Bronx,POINT (-73.91867 40.81633)
Apple Bank For Savings,2021 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.83078 40.86911)
Apple Bank For Savings,1617 Avenue M,Brooklyn,11230,Kings,POINT (-73.95851 40.61818)
Apple Bank For Savings,250 West 23rd Street,New York,10011,New York,POINT (-73.99754 40.7449)
Apple Bank For Savings,812-814 Lexington Avenue,New York,10022,New York,POINT (-73.96659 40.76441)
Apple Bank For Savings,79 Route 59,Monsey,10952,Rockland,POINT (-74.06691 41.10755)
Apple Bank For Savings,122 East 42nd Street,New York,10168,New York,POINT (-73.976464855 40.751449378)
Apple Bank For Savings,124 East 125th Street,New York,10035,New York,POINT (-73.93787 40.80457)
Apple Bank For Savings,3815 Broadway,New York,10032,New York,POINT (-73.94419 40.83514)
Apple Bank For Savings,4950 Broadway,New York,10034,New York,POINT (-73.9206 40.86788)
Apple Bank For Savings,1555 First Avenue,New York,10028,New York,POINT (-73.95182 40.77347)
Apple Bank For Savings,43-73 Kissena Boulevard,Flushing,11355,Queens,POINT (-73.82288 40.75394)
Apple Bank For Savings,2100 Broadway,New York,10023,New York,POINT (-73.98159 40.77964)
Apple Bank For Savings,1320 Avenue of the Americas,New York,10019,New York,POINT (-73.97883 40.76206)
Apple Bank For Savings,12 Westchester Square,Bronx,10461,Bronx,POINT (-73.84331 40.84015)
Apple Bank For Savings,626 Pelham Parkway South,Bronx,10462,Bronx,POINT (-73.86836 40.85662)
Apple Bank For Savings,44 East 161st Street,Bronx,10451,Bronx,POINT (-73.92597 40.82764)
Apple Bank For Savings,1321 Kings Highway,Brooklyn,11229,Kings,POINT (-73.95935 40.60829)
Apple Bank For Savings,326 Court Street,Brooklyn,11231,Kings,POINT (-73.99559 40.68297)
Apple Bank For Savings,1075 Central Park Avenue,Scarsdale,10583,Westchester,POINT (-73.82468 40.98794)
Apple Bank For Savings,666 Columbus Ave (Rose Hill Shopping Center),Thornwood,10594,Westchester,POINT (-73.77103 41.11345)
Apple Bank For Savings,943 Carmens Road,Massapequa,11758,Nassau,POINT (-73.43178 40.70278)
Apple Bank For Savings,776 Manhattan Avenue,Brooklyn,11222,Kings,POINT (-73.9528 40.72731)
Apple Bank For Savings,6701 18th Avenue,Brooklyn,11204,Kings,POINT (-73.99152 40.61782)
Apple Bank For Savings,3075 Veterans Highway,Ronkonkoma,11779,Suffolk,POINT (-73.13774 40.78913)
Apple Bank For Savings,1401 Avenue J,Brooklyn,11230,Kings,POINT (-73.96222 40.62508)
Apple Bank For Savings,4 Irving Place,New York,10003,New York,POINT (-73.98869 40.73409)
Apple Bank For Savings,3552-B Johnson Avenue,Bronx,10463,Bronx,POINT (-73.90969 40.88655)
Apple Bank For Savings,1168 First Avenue,New York,10021,New York,POINT (-73.95961 40.76288)
Apple Bank For Savings,4519 13th Avenue,Brooklyn,11219,Kings,POINT (-73.99021 40.63685)
Apple Bank For Savings,1973 86th Street,Brooklyn,11214,Kings,POINT (-73.99864 40.60484)
Apple Bank For Savings,7415 Fifth Avenue,Brooklyn,11209,Kings,POINT (-74.02248 40.62988)
Apple Bank For Savings,405 Brighton Beach Avenue,Brooklyn,11235,Kings,POINT (-73.96309 40.57726)
Apple Bank For Savings,486 NEPTUNE AVENUE,BROOKLYN,11224,Kings,POINT (-73.97203 40.57977)
Apple Bank For Savings,1575 50th Street,Brooklyn,11219,Kings,POINT (-73.98638 40.63064)
Apple Bank For Savings,365 South Oyster Bay Road,Plainview,11803,Nassau,POINT (-73.50291 40.78575)
Apple Bank For Savings,50 Montauk Highway,East Hampton,11937,Suffolk,POINT (-72.20795 40.95478)
Apple Bank For Savings,138 Main Street,Sag Harbor,11963,Suffolk,POINT (-72.29547 40.9997)
Apple Bank For Savings,10 Route 25A,East Setauket,11733,Suffolk,POINT (-73.10637 40.94103)
Apple Bank For Savings,775 Pulaski Road,Greenlawn,11740,Suffolk,POINT (-73.35048 40.86745)
Apple Bank For Savings,91 Route 111,Smithtown,11787,Suffolk,POINT (-73.18798 40.85023)
Apple Bank For Savings,151 East Sunrise Highway,North Lindenhurst,11757,Suffolk,POINT (-73.37447 40.70355)
Apple Bank For Savings,41 Commack Road,Commack,11725,Suffolk,POINT (-73.29338 40.842)
Apple Bank For Savings,1000 West Montauk Highway,West Babylon,11704,Suffolk,POINT (-73.34925 40.6836)
Apple Bank For Savings,318 Albany Avenue,Brooklyn,11213,Kings,POINT (-73.93947 40.6688)
Apple Bank For Savings,414 Flushing Avenue,Brooklyn,11205,Kings,POINT (-73.95818 40.69879)
Apple Bank For Savings,2655 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.16732 40.58207)
Apple Bank For Savings,101 East 170th Street,Bronx,10452,Bronx,POINT (-73.91556 40.83941)
Apple Bank For Savings,102-35 Queens Boulevard,Forest Hills,11375,Queens,POINT (-73.85059 40.72553)
Apple Bank For Savings,115 Cedarhurst Avenue,Cedarhurst,11516,Nassau,POINT (-73.72403 40.62223)
Apple Bank For Savings,44 Lee Avenue,Brooklyn,11211,Kings,POINT (-73.96054 40.70625)
Apple Bank For Savings,10 Hanover Square,New York,10005,New York,POINT (-74.00922 40.70434)
Apple Bank For Savings,116-12 Queens Boulevard,Kew Gardens,11375,Queens,POINT (-73.83 40.71379)
Apple Bank For Savings,85 Pondfield Road,Bronxville,10708,Westchester,POINT (-73.8329 40.94023)
Apple Bank For Savings,110 Church Street,New York,10007,New York,POINT (-74.00912 40.71344)
Apple Bank For Savings,706 West 181st Street,New  York,10033,New York,POINT (-73.93614 40.85032)
Apple Bank For Savings,3986 Hempstead Turnpike,Bethpage,11714,Nassau,POINT (-73.48902 40.72493)
Apple Bank For Savings,200 Birch Hill Road,Locust Valley,11560,Nassau,POINT (-73.59588 40.87937)
Apple Bank For Savings,333 Glen Cove Avenue,Sea Cliff,11579,Nassau,POINT (-73.6351 40.84126)
Apple Bank For Savings,74 Hugh J Grant Circle,Bronx,10472,Bronx,POINT (-73.86049 40.83284)
Apple Bank For Savings,1954 Flatbush Avenue,Brooklyn,11234,Kings,POINT (-73.93647 40.62225)
Apple Bank For Savings,1693 Hempstead Turnpike,Elmont,11003,Nassau,POINT (-73.70341 40.70722)
Apple Bank For Savings,91-31 Queens Boulevard,Elmhurst,11373,Queens,POINT (-73.86955 40.73344)
Apple Bank For Savings,33 Mamaroneck Avenue,White Plains,10601,Westchester,POINT (-73.76617 41.03129)
Apple Bank For Savings,465 Grand Street,New York,10002,New York,POINT (-73.98361 40.71501)
Apple Bank For Savings,10 Downing Street,New York,10014,New York,POINT (-74.00299 40.72954)
Apple Bank For Savings,280 East Park Avenue,Long Beach,11561,Nassau,POINT (-73.65568 40.58845)
Apple Bank For Savings,"167 Walt Whitman Road, Route 110",Huntington Station,11746,Suffolk,POINT (-73.4131 40.82377)
Apple Bank For Savings,1395 Northern Boulevard,Manhasset,11030,Nassau,POINT (-73.69541 40.79339)
Apple Bank For Savings,105 Second Avenue,New York,10003,New York,POINT (-73.98844 40.72758)
Astoria Bank,718 Medford Avenue,Patchogue,11772,Suffolk,POINT (-73.00835 40.79215)
Astoria Bank,1336 Montauk Highway,Oakdale,11769,Suffolk,POINT (-73.13356 40.74253)
Astoria Bank,325 Route 25A,Rocky Point,11778,Suffolk,POINT (-72.9445 40.94494)
Astoria Bank,999-25 Montauk Highway,Shirley,11967,Suffolk,POINT (-72.85955 40.8041)
Astoria Bank,65 Nugent Street,Southampton,11968,Suffolk,POINT (-72.39214 40.88631)
Astoria Bank,1047 North Country Road,Stonybrook,11790,Suffolk,POINT (-73.12861 40.92166)
Astoria Bank,6348 Route 25A,Wading River,11792,Suffolk,POINT (-72.84737 40.94434)
Astoria Bank,526 Union Boulevard,West Islip,11795,Suffolk,POINT (-73.29642 40.70914)
Astoria Bank,71 Sunset Avenue,Westhampton Beach,11978,Suffolk,POINT (-72.64548 40.8115)
Astoria Bank,4 Great Neck Road,Great Neck,11021,Nassau,POINT (-73.72618 40.78614)
Astoria Bank,360 Merrick Road,Lynbrook,11563,Nassau,POINT (-73.67363 40.65728)
Astoria Bank,363 Hempstead Avenue,Malverne,11565,Nassau,POINT (-73.66779 40.67744)
Astoria Bank,164 Manetto Hill Road,Plainview,11803,Nassau,POINT (-73.47343 40.78486)
Astoria Bank,490 Hempstead Turnpike,West Hempstead,11552,Nassau,POINT (-73.6575 40.70632)
Astoria Bank,162 Hillside Avenue,Williston Park,11596,Nassau,POINT (-73.64538 40.75622)
Astoria Bank,711 Franklin Avenue,Franklin Square,11010,Nassau,POINT (-73.68544 40.68897)
Astoria Bank,320 Walt Whitman Road,Huntington Station,11746,Suffolk,POINT (-73.4109 40.81873)
Astoria Bank,75-25 Metropolitan Avenue,Middle Village,11379,Queens,POINT (-73.87676 40.71326)
Astoria Bank,29-34 30th Avenue,Long Island City,11102,Queens,POINT (-73.92245 40.76739)
Astoria Bank,57-07 Junction Boulevard,Elmhurst,11373,Queens,POINT (-73.86558 40.73617)
Astoria Bank,46-08 Francis Lewis Boulevard,Flushing,11361,Queens,POINT (-73.7816 40.75423)
Astoria Bank,30-33 Stratton Street,Flushing,11354,Queens,POINT (-73.83413 40.76909)
Astoria Bank,71-20 Kissena Boulevard,Flushing,11367,Queens,POINT (-73.81537 40.72893)
Astoria Bank,63-72 108th Street,Forest Hills,11375,Queens,POINT (-73.84967 40.73309)
Astoria Bank,68-17 Myrtle Avenue,Glendale,11385,Queens,POINT (-73.88397 40.70169)
Astoria Bank,31-24 Ditmars Boulevard,Long Island City,11105,Queens,POINT (-73.90995 40.7756)
Astoria Bank,37-16 30th Street,Long Island City,11103,Queens,POINT (-73.93204 40.75513)
Astoria Bank,153-17 Cross Island Parkway,Whitestone,11357,Queens,POINT (-73.80898 40.78745)
Astoria Bank,60-20 Woodside Avenue,Woodside,11377,Queens,POINT (-73.90386 40.74451)
Astoria Bank,1622 Hempstead Turnpike,East Meadow,11554,Nassau,POINT (-73.5761 40.72295)
Astoria Bank,464 Atlantic Avenue,East Rockaway,11518,Nassau,POINT (-73.66529 40.64312)
Astoria Bank,1585 Dutch Broadway,Elmont,11003,Nassau,POINT (-73.70283 40.68711)
Astoria Bank,99 Covert Avenue,Floral Park,11001,Nassau,POINT (-73.68897 40.72021)
Astoria Bank,155 Jericho Turnpike,Floral Park,11001,Nassau,POINT (-73.70531 40.7284)
Astoria Bank,116-22 Metropolitan Avenue,Kew Gardens,11418,Queens,POINT (-73.8354 40.70728)
Astoria Bank,One Astoria Federal Plaza,Lake Success,11042,Nassau,POINT (-73.70014 40.75907)
Astoria Bank,101 Church Avenue,Brooklyn,11218,Kings,POINT (-73.97918 40.6429)
Astoria Bank,4302 18th Avenue,Brooklyn,11218,Kings,POINT (-73.97619 40.63118)
Astoria Bank,489 Neptune Avenue,Brooklyn,11224,Kings,POINT (-73.97194 40.57986)
Astoria Bank,110 Seventh Avenue,Brooklyn,11215,Kings,POINT (-73.97581 40.67392)
Astoria Bank,5220 13th Avenue,Brooklyn,11219,Kings,POINT (-73.99431 40.63293)
Astoria Bank,1045 Flatbush Avenue,Brooklyn,11226,Kings,POINT (-73.95805 40.64552)
Astoria Bank,1550 Flatbush Avenue,Brooklyn,11210,Kings,POINT (-73.94803 40.63315)
Astoria Bank,1672 Sheepshead Bay Road,Brooklyn,11235,Kings,POINT (-73.95206 40.58615)
Astoria Bank,179-25 Hillside Avenue,Jamaica,11432,Queens,POINT (-73.78384 40.71298)
Astoria Bank,3535 Long Beach Road,Oceanside,11572,Nassau,POINT (-73.63933 40.62466)
Astoria Bank,2775 Route 112,Medford,11763,Suffolk,POINT (-72.99708 40.82235)
Astoria Bank,995 Hicksville Road,Massapequa,11758,Nassau,POINT (-73.47822 40.69121)
Astoria Bank,459 Fifth Avenue,Brooklyn,11215,Kings,POINT (-73.9867 40.66868)
Astoria Bank,2241 65th Street,Brooklyn,11204,Kings,POINT (-73.9803 40.61316)
Astoria Bank,1401 Avenue M,Brooklyn,11230,Kings,POINT (-73.96073 40.61793)
Astoria Bank,33 Main Street,Kings Park,11754,Suffolk,POINT (-73.25533 40.88487)
Astoria Bank,361 Sunrise Highway,Patchogue,11772,Suffolk,POINT (-73.03188 40.77821)
Astoria Bank,1880 Middle Country Road,Ridge,11961,Suffolk,POINT (-72.90416 40.89066)
Astoria Bank,861 Montauk Highway,West Babylon,11704,Suffolk,POINT (-73.35053 40.68605)
Astoria Bank,729 Saw Mill River Road,Ardsley,10502,Westchester,POINT (-73.84598 41.01312)
Astoria Bank,Towne Centre at Somers,Somers,10589,Westchester,
Astoria Bank,114 Northern Boulevard,Greenvale,11548,Nassau,POINT (-73.62855 40.8092)
Astoria Bank,560 Warburton Avenue,Hastings on Hudson,10706,Westchester,POINT (-73.88229 40.99551)
Astoria Bank,839-140 New York Avenue,Huntington,11743,Suffolk,POINT (-73.41962 40.85863)
Astoria Bank,955 Hempstead Turnpike,Franklin Square,11010,Nassau,POINT (-73.67558 40.70744)
Astoria Bank,301 North Broadway,Jericho,11753,Nassau,POINT (-73.53054 40.77952)
Astoria Bank,7 Penn Plaza,New York,10001,New York,POINT (-73.99205 40.749)
Astoria Bank,110 Main Street,Port Washington,11050,Nassau,POINT (-73.68994 40.83045)
Astoria Bank,532 Broad Hollow Road,Melville,11747,Suffolk,POINT (-73.422648624 40.775072012)
Astoria Bank,26-26 Jackson Avenue,Long Island City,11101,Queens,POINT (-73.94127 40.74754)
Astoria Bank,1229 East Jericho Turnpike,Huntington,11743,Suffolk,POINT (-73.36326 40.83368)
Astoria Bank,1015 Route 112,Port Jefferson Station,11776,Suffolk,POINT (-73.04574 40.92393)
Astoria Bank,2133 Knapp Street,Brooklyn,11229,Kings,POINT (-73.93412 40.60043)
Astoria Bank,2090 Merrick Road,Merrick,11566,Nassau,POINT (-73.54653 40.65769)
Astoria Bank,3887 Merrick Road,Seaford,11783,Nassau,POINT (-73.48725 40.66647)
Astoria Bank,153-01 10th Avenue,Whitestone,11357,Queens,POINT (-73.80736 40.79332)
Astoria Bank,300 East Main Street,Bay Shore,11706,Suffolk,POINT (-73.23965 40.7251)
Astoria Bank,72-35 Broadway,Jackson Heights,11372,Queens,POINT (-73.89305 40.74738)
Astoria Bank,97-33 Queens Boulevard,Rego Park,11374,Queens,POINT (-73.85979 40.72941)
Astoria Bank,44 Cedar Swamp Road,Glen Cove,11542,Nassau,POINT (-73.61995 40.85556)
Astoria Bank,1150 Franklin Avenue,Garden City,11530,Nassau,POINT (-73.63679 40.73258)
Astoria Bank,3105 Hempstead Turnpike,Levittown,11756,Nassau,POINT (-73.52111 40.72529)
Astoria Bank,1001 Park Boulevard,Massapequa Park,11762,Nassau,POINT (-73.45573 40.67839)
Astoria Bank,339 Merrick Road,Rockville Center,11570,Nassau,POINT (-73.64282 40.65589)
Astoria Bank,120 South Franklin Avenue,Valley Stream,11580,Nassau,POINT (-73.703 40.66209)
Astoria Bank,1149 Wantagh Avenue,Wantagh,11793,Nassau,POINT (-73.50701 40.695)
Astoria Bank,50 Jackson Avenue,Syosset,11791,Nassau,POINT (-73.502736117 40.82452172)
Astoria Bank,180 West Main Street,Babylon,11702,Suffolk,POINT (-73.3269 40.695)
Astoria Bank,269 Middle Country Road,Coram,11727,Suffolk,POINT (-72.99627 40.87096)
Astoria Bank,180 East Main Street,East Islip,11730,Suffolk,POINT (-73.18249 40.73288)
Astoria Bank,696 Horseblock Road,Farmingville,11738,Suffolk,POINT (-73.03474 40.83204)
